,feature_importance
koi_dikco_msky,13.225457008998202
koi_prad,11.953303185700102
koi_dor,9.04751400286342
koi_ror,7.863353864584369
koi_duration,7.3921835622751955
koi_max_mult_ev,6.5563387791192795
koi_fwm_srao,6.520842521598182
koi_model_snr,6.507146438676578
koi_dicco_mra,5.566354986626206
koi_num_transits,5.4164389311464785
koi_fwm_stat_sig,5.044621206165092
koi_max_sngle_ev,5.033665245304373
koi_sma,4.968567936227609
koi_fwm_sdec,4.904212330714911
